Layer name,In channels,kernel_size,index_channel,input_sparsity,weight_sparsity,Level(128->32) skip counts,Level(128->32) skip rate,Level(32->16) skip counts,Level(32->16) skip rate,Level(16->8) skip counts,Level(16->8) skip rate,Level(8->4) skip counts,Level(8->4) skip rate,Level(4->2) skip counts,Level(4->2) skip rate,Level(2->1) skip counts,Level(2->1) skip rate,compute count,weights_update_time
6/1/conv2/conv3,512,1,225,0.764593505859375,0.455078125,47161,0.3837972005208333,22651,0.36866861979166665,4869,0.15849609375,735,0.0478515625,136,0.017708333333333333,23,0.005989583333333334,3840,4
6/2/Conv/pwconv1,256,1,33,0.6681315104166666,0.484375,13920,0.2265625,7370,0.23990885416666666,1207,0.07858072916666667,186,0.02421875,39,0.01015625,8,0.004166666666666667,1920,2
6/2/Conv/pwconv3,512,1,11,0.8154459635416667,0.435546875,54863,0.44647623697916666,24389,0.39695638020833335,5462,0.17779947916666666,860,0.055989583333333336,143,0.018619791666666666,36,0.009375,3840,4
6/2/conv1/conv1,256,1,103,0.6658203125,0.43359375,13119,0.213525390625,5943,0.19345703125,909,0.0591796875,154,0.020052083333333335,47,0.012239583333333333,10,0.005208333333333333,1920,2
6/2/conv1/conv3,256,1,1,0.75614013671875,0.44140625,20109,0.327294921875,10782,0.3509765625,2513,0.16360677083333333,478,0.062239583333333334,82,0.021354166666666667,14,0.007291666666666667,1920,2
6/2/conv2/conv1,512,1,389,0.7503499348958333,0.4296875,44352,0.3609375,20953,0.34103190104166664,4825,0.15706380208333334,942,0.061328125,170,0.022135416666666668,37,0.009635416666666667,3840,4
6/2/conv2/conv3,512,1,86,0.7537251790364583,0.4375,43093,0.35069173177083335,22859,0.37205403645833335,5428,0.17669270833333334,895,0.058268229166666664,236,0.030729166666666665,41,0.010677083333333334,3840,4
7/encode_conv,256,3,235,0.6649454752604167,0.4526909722222222,36531,0.2642578125,19103,0.2763744212962963,4243,0.12277199074074074,1135,0.06568287037037036,463,0.05358796296296296,205,0.047453703703703706,4320,18
8/Conv/pwconv1,256,1,356,0.7152994791666667,0.4453125,4173,0.2716796875,2405,0.3131510416666667,491,0.12786458333333334,84,0.04375,17,0.017708333333333333,3,0.00625,480,2
8/Conv/pwconv3,512,1,28,0.6922770182291667,0.453125,8086,0.26321614583333336,4310,0.2805989583333333,766,0.09973958333333334,165,0.04296875,32,0.016666666666666666,7,0.007291666666666667,960,4
8/conv1/conv1,256,1,67,0.55703125,0.43359375,2037,0.1326171875,1209,0.157421875,164,0.042708333333333334,21,0.0109375,10,0.010416666666666666,3,0.00625,480,2
8/conv1/conv3,256,1,75,0.7287272135416667,0.48828125,4920,0.3203125,2425,0.3157552083333333,551,0.14348958333333334,50,0.026041666666666668,4,0.004166666666666667,2,0.004166666666666667,480,2
8/conv2/conv1,256,1,100,0.741943359375,0.4375,4993,0.3250651041666667,2447,0.31861979166666665,573,0.14921875,101,0.05260416666666667,17,0.017708333333333333,2,0.004166666666666667,480,2
8/conv2/conv3,256,1,135,0.74794921875,0.44140625,5390,0.3509114583333333,2783,0.36236979166666666,574,0.14947916666666666,118,0.06145833333333333,20,0.020833333333333332,4,0.008333333333333333,480,2
9/cv1/conv,256,1,125,0.5242838541666667,0.5234375,1976,0.12864583333333332,1110,0.14453125,210,0.0546875,37,0.019270833333333334,15,0.015625,9,0.01875,480,2
9/cv2/conv,512,1,158,0.2989990234375,0.44140625,4544,0.14791666666666667,1576,0.10260416666666666,374,0.04869791666666667,68,0.017708333333333333,11,0.005729166666666666,0,0.0,960,4
average,,,,0.6827262752831229,0.4708799511316873,22108245,0.5254979434784592,11043188,0.5249781322258732,3650653,0.3470941531276622,1033304,0.1964874650115614,253306,0.09633458074723135,64863,0.04933598028477547,1314720,507
